date,location,poss_winner,poss_loser
"July 30, 2022","Dallas, Texas, USA",Julianna Pena,Amanda Nunes
"March 20, 2021","Las Vegas, Nevada, USA",Derek Brunson,Kevin Holland
"March 27, 2021","Las Vegas, Nevada, USA",Francis Ngannou,Stipe Miocic
"May 01, 2021","Las Vegas, Nevada, USA",Jiri Prochazka,Dominick Reyes
"March 13, 2021","Las Vegas, Nevada, USA",Leon Edwards,Belal Muhammad
"April 10, 2021","Las Vegas, Nevada, USA",Marvin Vettori,Kevin Holland
"May 08, 2021","Las Vegas, Nevada, USA",Marina Rodriguez,Michelle Waterson-Gomez
"April 17, 2021","Las Vegas, Nevada, USA",Robert Whittaker,Kelvin Gastelum
"May 15, 2021","Houston, Texas, USA",Charles Oliveira,Michael Chandler
"May 22, 2021","Las Vegas, Nevada, USA",Rob Font,Cody Garbrandt
"June 05, 2021","Las Vegas, Nevada, USA",Jairzinho Rozenstruik,Augusto Sakai
"June 12, 2021","Glendale, Arizona, USA",Israel Adesanya,Marvin Vettori
"April 24, 2021","Jacksonville, Florida, USA",Kamaru Usman,Jorge Masvidal
"June 19, 2021","Las Vegas, Nevada, USA",Chan Sung Jung,Dan Ige
"July 14, 1995","Casper, Wyoming, USA",Oleg Taktarov,David Abbott
"6' 3""",205 lbs.,Ihor Potieria,Lucasz Sudolski
"5' 11""",170 lbs.,Orion Cosce,Phil Rowe
"July 10, 2021","Las Vegas, Nevada, USA",Dustin Poirier,Conor McGregor
"June 26, 2021","Las Vegas, Nevada, USA",Ciryl Gane,Alexander Volkov
"6' 0""",205 lbs.,Nicolae Negumereanu,Kennedy Nzechukwu
"5' 11""",170 lbs.,Blood Diamond,Jeremiah Wells
"5' 6""",125 lbs.,Mariya Agapova,Maryna Moroz
"5' 7""",125 lbs.,Ji Yeon Kim,Priscila Cachoeira
"6' 0""",170 lbs.,Carlston Harris,Shavkat Rakhmonov
"5' 8""",135 lbs.,Anthony Birchak,Tony Gravely
"5' 10""",155 lbs.,Dakota Bush,Viacheslav Borshchev
"5' 5""",135 lbs.,Tony Gravely,Johnny Munoz
"5' 9""",170 lbs.,Christian Aguilera,Carlston Harris
"5' 8""",135 lbs.,Rob Font,Marlon Vera
"5' 9""",145 lbs.,Sean Soriano,Shayilan Nuerdanbieke
"5' 2""",115 lbs.,Ariane Carnelossi,Loopy Godinez
"5' 5""",115 lbs.,Liang Na,Silvana Gomez Juarez
"5' 7""",135 lbs.,Aoriqileng,Cameron Else
"6' 4""",265 lbs.,Josh Parisian,Alan Baudot
"5' 6""",125 lbs.,Jeff Molina,Zhalgas Zhumagulov
"6' 1""",185 lbs.,Saparbeg Safarov,Rodolfo Vieira
"5' 4""",125 lbs.,Lara Procopio,Casey O'Neill
"5' 9""",155 lbs.,Damir Hadzovic,Marc Diakiese
"5' 8""",135 lbs.,Lucie Pudilova,Justine Kish
"5' 7""",145 lbs.,Justin Jaynes,Charles Rosa
"5' 9""",145 lbs.,Charles Rosa,Nathaniel Wood
"5' 10""",155 lbs.,Yancy Medeiros,Damir Hadzovic
"5' 5""",135 lbs.,Ian Entwistle,Alejandro Perez
"5' 6""",125 lbs.,Melinda Fabian,Ji Yeon Kim
"5' 5""",135 lbs.,Dileno Lopes,Anthony Birchak
"5' 6""",135 lbs.,Joe Soto,Iuri Alcantara
"6' 2""",185 lbs.,Anthony Ivy,Bryan Barberena
"August 20, 2022","Salt Lake City, Utah, USA",Kamaru Usman,Leon Edwards
"5' 11""",155 lbs.,Viacheslav Borshchev,Marc Diakiese
"5' 3""",115 lbs.,Silvana Gomez Juarez,Liang Na
"5' 4""",115 lbs.,Istela Nunes,Sam Hughes
"5' 9""",135 lbs.,Cameron Else,Aoriqileng
"5' 7""",145 lbs.,Tatsuya Kawajiri,Cub Swanson
"June 26, 2018","Las Vegas, Nevada, USA",Antonina Shevchenko,Jaimelene Nievera
"5' 7""",125 lbs.,Cody Durden,JP Buys
"5' 10""",155 lbs.,Frank Camacho,Manuel Torres
"5' 8""",145 lbs.,Gabriel Benitez,David Onama
"5' 7""",135 lbs.,Lina Lansberg,Pannie Kianzad
"August 25, 2020","Las Vegas, Nevada, USA",Jamie Pickett,Jhonoven Pati
"5' 7""",135 lbs.,Sarah Moras,Vanessa Melo
"6' 0""",145 lbs.,Dan Hooker,Arnold Allen
"February 26, 2010","San Jose, California, USA",Sarah Kaufman,Takayo Hashi
"5' 7""",135 lbs.,Reginaldo Vieira,Aiemann Zahabi
"5' 9""",155 lbs.,Devonte Smith,Ludovit Klein
"5' 5""",135 lbs.,Michinori Tanaka,Ricardo Ramos
"August 13, 2022","San Diego, California, USA",Marlon Vera,Dominick Cruz
"5' 6""",135 lbs.,TJ Dillashaw,Cory Sandhagen
"5' 8""",135 lbs.,Kyler Phillips,Marcelo Rojo
"6' 0""",170 lbs.,Bryan Barberena,Robbie Lawler
"5' 7""",125 lbs.,Chris Beal,Joe Soto
"5' 8""",125 lbs.,Marco Beltran,Matt Schnell
"5' 7""",125 lbs.,Jimmy Flick,Cody Durden
"5' 9""",135 lbs.,Chris Gutierrez,Batgerel Danaa
"May 22, 2005","Tokyo, Japan",Takanori Gomi,Luiz Azeredo
"5' 10""",155 lbs.,Manuel Torres,Frank Camacho
"5' 10""",155 lbs.,Damien Brown,Dong Hyun Ma
"6' 0""",170 lbs.,Li Jingliang,Muslim Salikhov
"5' 7""",135 lbs.,Tonya Evinger,Lina Lansberg
"5' 6""",135 lbs.,Aspen Ladd,Raquel Pennington
"5' 8""",145 lbs.,Cristiane Justino,Felicia Spencer
--,185 lbs.,Wayne Phillips,Damion Douglas
"6' 0""",185 lbs.,Eric Lawson,Ron Keslar
"5' 8""",135 lbs.,Aiemann Zahabi,Ricky Turcios
"5' 9""",135 lbs.,Roland Delorme,Yuta Sasaki
"August 07, 2018","Las Vegas, Nevada, USA",Greg Hardy,Tebaris Gordon
"5' 8""",135 lbs.,Patrick Williams,Luke Sanders
"5' 4""",145 lbs.,Guangyou Ning,Marlon Vera
"5' 4""",125 lbs.,Cynthia Calvillo,Andrea Lee
"5' 9""",135 lbs.,Kyung Ho Kang,Batgerel Danaa
"5' 4""",125 lbs.,Neil Seery,Alexandre Pantoja
"5' 9""",155 lbs.,Joe Ellenberger,Bryan Barberena
"5' 7""",125 lbs.,Tateki Matsuda,Joby Sanchez
"5' 7""",125 lbs.,Chris Kelades,Sergio Pettis
"5' 11""",155 lbs.,Cesar Arzamendia,Damien Brown
"5' 9""",155 lbs.,David Michaud,Olivier Aubin-Mercier
"6' 1""",170 lbs.,Nordine Taleb,Muslim Salikhov
"5' 11""",155 lbs.,Jon Tuck,Drew Dober
"5' 11""",170 lbs.,Keita Nakamura,Sultan Aliev
"5' 9""",135 lbs.,Germaine de Randamie,Julianna Pena
"6' 0""",185 lbs.,Josh Neal,Kurt Osiander
"November 16, 2007","San Jose, California, USA",Cung Le,Sammy Morgan
"5' 8""",135 lbs.,Drako Rodriguez,Vince Morales
"5' 5""",125 lbs.,Josh Ferguson,Chris Cariaso
"5' 9""",135 lbs.,Ricky Turcios,Aiemann Zahabi
"5' 7""",135 lbs.,Nick Denis,Roland Delorme
"5' 6""",145 lbs.,JR Coughran,Alex Gilpin
"5' 4""",125 lbs.,Phil Harris,Neil Seery
"5' 6""",125 lbs.,Jon Delos Reyes,Neil Seery
"5' 9""",135 lbs.,Louis Smolka,Davey Grant
"5' 5""",125 lbs.,Kyoji Horiguchi,Ali Bagautinov
"6' 0""",155 lbs.,Garett Whiteley,David Michaud
"5' 6""",135 lbs.,Brad Pickett,Marlon Vera
"5' 10""",125 lbs.,Paddy Holohan,Louis Smolka
"5' 6""",135 lbs.,Joby Sanchez,Mark De La Rosa
"5' 8""",155 lbs.,Zhang Tiequan,Jon Tuck
"5' 11""",170 lbs.,Brock Larson,Brian Foster
"5' 9""",155 lbs.,Olivier Aubin-Mercier,Arman Tsarukyan
"5' 4""",135 lbs.,Ray Borg,Ricky Simon
"September 08, 2020","Las Vegas, Nevada, USA",Tafon Nchukwi,Al Matavao
"5' 10""",135 lbs.,Mana Martinez,Ronnie Lawrence
"5' 10""",170 lbs.,James Moontasri,Alex Morono
"5' 9""",135 lbs.,Boston Salmon,Randy Costa
"July 11, 2017","Las Vegas, Nevada, USA",Matt Bessette,Kurt Holobaugh
"5' 3""",125 lbs.,Chris Cariaso,Sergio Pettis
"5' 7""",135 lbs.,Joseph Sandoval,Nick Denis
"5' 7""",135 lbs.,Dustin Kimura,Henry Cejudo
"5' 8""",135 lbs.,Brady Hiestand,Ricky Turcios
"5' 9""",135 lbs.,Dustin Pague,Kyoji Horiguchi
"5' 4""",125 lbs.,Ali Bagautinov,Kyoji Horiguchi
"5' 8""",125 lbs.,Shane Howell,Paddy Holohan
