name,win,loss,tie,weight_lbs,reach_inch,stance,slpm,str_acc,sapm,str_def,tdavg,tdacc,tddef,subavg,w/l_ratio,age,inches
Jailton Almeida,16,2,0,205.0,79.0,Orthodox,3.48,53,0.49,12,6.27,66,50,2.1,0.89,31,75
Nasrudin Nasrudinov,9,1,0,205.0,71.0,Orthodox,1.03,87,0.29,75,2.2,50,40,0.0,0.9,30,72
Parker Porter,13,7,0,265.0,75.0,Orthodox,6.49,49,6.32,52,1.45,28,50,0.5,0.65,37,72
Danilo Marques,11,4,0,205.0,77.0,Orthodox,1.44,79,2.52,52,3.93,28,0,0.8,0.73,36,78
Chase Sherman,16,10,0,250.0,78.0,Orthodox,6.51,47,6.51,52,0.0,0,66,0.0,0.62,32,76
Chris Daukaus,12,5,0,250.0,76.0,Orthodox,6.47,50,4.02,59,0.0,0,100,0.0,0.71,32,75
Ketlen Vieira,13,2,0,135.0,68.0,Orthodox,3.13,41,4.03,52,1.51,40,92,0.4,0.87,30,68
Alan Baudot,8,4,0,243.0,79.0,Orthodox,5.36,58,4.82,46,0.0,0,62,0.0,0.67,34,75
Josh Parisian,15,5,0,265.0,79.0,Orthodox,4.97,52,5.11,41,1.06,30,42,0.3,0.75,33,76
Kennedy Nzechukwu,10,3,0,205.0,83.0,Southpaw,4.68,44,4.36,51,0.79,62,81,0.2,0.77,30,77
Sean Strickland,25,4,0,185.0,76.0,Orthodox,5.54,40,4.01,65,1.14,61,85,0.3,0.86,31,73
Stipe Miocic,20,4,0,240.0,80.0,Orthodox,4.82,53,3.82,54,1.86,34,68,0.0,0.83,39,76
Khadis Ibragimov,8,4,0,205.0,78.0,Orthodox,3.55,49,4.26,47,0.97,30,80,0.3,0.67,27,75
Mike Rodriguez,11,7,0,205.0,82.0,Southpaw,4.35,53,4.24,41,0.0,0,37,0.0,0.61,33,76
Alexandr Romanov,16,0,0,262.0,75.0,Southpaw,4.23,52,1.35,43,6.46,69,20,1.6,1.0,31,74
Rodrigo Nascimento,9,1,0,246.0,80.0,Orthodox,5.46,57,6.14,38,1.71,40,100,1.7,0.9,29,74
Anthony Smith,36,16,0,205.0,76.0,Orthodox,3.03,47,4.31,42,0.46,28,48,0.8,0.69,33,76
Jamahal Hill,10,1,0,205.0,79.0,Southpaw,7.06,51,3.71,45,0.0,0,60,0.0,0.91,31,76
Brendan Allen,19,5,0,185.0,75.0,Orthodox,4.15,55,4.18,44,1.2,41,50,1.4,0.79,26,74
Fabio Maldonado,23,11,0,205.0,75.0,Orthodox,5.29,58,4.31,53,0.44,57,61,0.6,0.68,42,73
Joey Beltran,17,14,0,185.0,75.0,Orthodox,4.92,36,5.27,54,0.48,18,75,0.0,0.55,40,73
Marlon Vera,19,7,1,135.0,70.0,Switch,4.33,51,4.99,50,0.73,42,68,1.1,0.73,29,68
Juan Espino,11,2,0,255.0,80.0,,2.38,70,1.95,40,8.93,78,50,2.4,0.85,41,75
Mateusz Gamrot,21,1,0,155.0,70.0,Southpaw,3.54,51,3.19,63,4.83,35,90,0.3,0.95,31,70
Marcos Rogerio de Lima,19,9,1,253.0,75.0,Orthodox,3.57,54,2.44,53,1.11,50,57,0.5,0.68,37,73
Ben Lagman,6,5,0,185.0,,,0.0,0,0.0,0,0.0,0,0,0.0,0.55,35,74
Cory Sandhagen,14,4,0,135.0,70.0,Switch,6.42,44,4.5,55,0.71,33,67,0.4,0.78,30,71
James McSweeney,15,15,0,230.0,77.0,Switch,3.94,55,4.33,42,0.52,33,100,1.1,0.5,41,76
Zhang Weili,22,3,0,115.0,63.0,Switch,5.78,47,4.26,52,2.09,34,60,0.3,0.88,32,64
Bobby Voelker,19,13,0,170.0,74.0,Orthodox,4.01,35,5.84,42,1.04,50,66,0.0,0.59,43,72
Kyle Kingsbury,11,6,0,205.0,79.0,Orthodox,2.97,40,3.81,51,2.64,41,52,0.0,0.65,40,76
Justin Frazier,10,3,0,265.0,75.0,Southpaw,1.11,66,6.11,4,0.0,0,0,0.0,0.77,33,72
Jeff Hughes,10,4,0,250.0,77.0,Orthodox,3.95,51,3.67,60,0.71,50,45,0.0,0.71,34,74
Marco Beltran,8,6,0,125.0,69.0,Orthodox,2.07,37,1.93,63,0.7,50,46,0.2,0.57,36,68
Frankie Edgar,23,10,1,135.0,68.0,Orthodox,3.79,40,2.81,66,2.3,31,65,0.3,0.7,40,66
Jiri Prochazka,29,3,1,205.0,80.0,Orthodox,5.77,55,5.4,40,0.38,100,68,0.4,0.91,29,75
Richardson Moreira,7,4,0,185.0,,Orthodox,1.17,28,1.83,67,0.0,0,100,0.0,0.64,38,74
Mike Kyle,22,14,1,205.0,77.0,Orthodox,3.93,51,3.35,49,1.33,62,50,0.8,0.61,42,76
Darrill Schoonover,14,8,0,220.0,,Orthodox,1.2,33,4.35,38,0.0,0,50,1.1,0.64,37,74
Rose Namajunas,12,5,0,115.0,65.0,Orthodox,3.66,40,3.5,60,1.61,57,60,0.6,0.71,30,65
Tony Ferguson,26,7,0,155.0,76.0,Orthodox,5.12,45,3.81,58,0.41,42,66,1.1,0.79,38,71
Danielle Taylor,9,4,0,115.0,60.0,Orthodox,2.75,29,3.31,71,0.2,20,70,0.2,0.69,32,60
Tom Lawlor,10,6,0,205.0,74.0,Southpaw,2.5,42,2.41,60,2.46,32,57,1.4,0.62,39,72
Razak Al-Hassan,13,5,0,205.0,,Orthodox,3.27,39,3.14,60,0.65,14,57,0.0,0.72,40,74
Brian Ortega,15,3,0,145.0,69.0,Switch,4.19,38,6.66,49,0.95,23,56,1.2,0.83,31,68
Matt Veach,17,5,0,155.0,,Orthodox,1.12,28,4.91,44,3.64,38,100,1.5,0.77,41,71
Josh Barnett,35,8,0,250.0,78.0,Orthodox,3.2,50,2.11,57,1.26,55,55,1.4,0.81,44,75
Wes Sims,24,14,1,260.0,,Orthodox,0.98,51,2.95,37,0.0,0,40,2.3,0.63,42,82
Justin Eilers,19,7,1,235.0,,Orthodox,2.86,43,5.66,49,0.82,25,50,0.0,0.73,44,73
Lyoto Machida,24,8,0,185.0,74.0,Southpaw,2.59,53,1.57,61,1.21,65,75,0.4,0.75,44,73
Carla Esparza,20,6,0,115.0,63.0,Orthodox,2.2,40,2.59,55,3.25,35,47,0.3,0.77,34,61
Diego Brandao,22,11,0,145.0,64.0,Orthodox,2.94,47,3.38,62,3.21,68,80,0.6,0.67,35,67
Steve Cantwell,7,6,0,185.0,75.0,Orthodox,3.63,34,5.76,55,0.65,30,80,0.7,0.54,35,74
Mike de la Torre,14,7,0,145.0,71.0,Orthodox,3.21,39,4.75,51,0.36,16,83,0.0,0.67,35,71
Matt Grice,15,5,0,145.0,70.0,Orthodox,4.09,53,2.69,56,2.19,37,82,0.5,0.75,40,68
Anderson Silva,34,11,0,185.0,77.0,Southpaw,3.05,61,2.05,60,0.5,77,69,0.8,0.76,47,74
Gan McGee,13,5,0,265.0,,Orthodox,2.2,29,2.31,59,0.65,25,83,0.0,0.72,45,82
Virna Jandiroba,18,3,0,115.0,64.0,Orthodox,2.45,38,3.19,57,2.31,38,73,1.1,0.86,34,63
Cain Velasquez,14,3,0,240.0,77.0,Orthodox,6.37,57,2.33,57,5.13,45,85,0.4,0.82,39,73
Kengo Watanabe,8,13,3,220.0,,Orthodox,0.6,40,3.4,35,1.0,100,37,0.0,0.38,46,76
Jon Fitch,30,7,1,170.0,74.0,Orthodox,2.61,50,1.65,54,3.6,51,56,0.8,0.81,44,72
Myles Jury,17,4,0,145.0,73.0,Orthodox,2.94,42,2.16,66,2.16,55,50,0.3,0.81,33,70
Justin McElfresh,6,4,0,205.0,,Orthodox,4.59,26,12.79,41,0.0,0,0,0.0,0.6,42,78
Terry Etim,16,5,0,155.0,73.0,Orthodox,2.16,35,2.53,67,0.43,30,39,1.4,0.76,36,73
Travis Lutter,10,6,0,185.0,75.0,Orthodox,0.41,32,2.42,42,1.95,24,30,0.7,0.62,49,71
Mallory Martin,7,5,0,115.0,63.0,Orthodox,4.42,48,6.64,55,2.28,43,25,0.3,0.58,28,64
Joe Lauzon,28,16,0,155.0,71.0,Orthodox,2.84,39,5.39,54,2.39,45,54,2.0,0.64,38,70
Felice Herrig,14,10,0,115.0,65.0,Orthodox,3.84,37,5.19,48,1.08,28,75,0.8,0.58,37,64
Kanako Murata,12,2,0,115.0,62.0,Orthodox,2.08,59,2.6,53,2.4,40,0,1.2,0.86,28,61
Jesse Fujarczyk,2,2,0,225.0,,Southpaw,1.03,33,4.91,38,0.0,0,25,0.0,0.5,39,76
Mackenzie Dern,12,2,0,115.0,63.0,Orthodox,3.16,35,4.35,54,0.46,9,40,2.0,0.86,29,64
Amanda Ribas,11,3,0,125.0,66.0,Orthodox,4.46,40,2.57,70,2.19,47,88,1.2,0.79,28,63
Jeremiah Constant,11,8,0,240.0,,Orthodox,1.5,75,3.25,43,0.0,0,0,7.5,0.58,48,73
Rich Clementi,45,23,1,155.0,72.0,Southpaw,1.43,37,2.29,60,1.72,42,25,1.1,0.66,46,69
Chris Gruetzemacher,15,5,0,155.0,68.0,Orthodox,6.18,57,4.96,52,0.21,50,65,0.0,0.75,36,68
Jairzinho Rozenstruik,12,4,0,242.0,78.0,Orthodox,2.8,45,3.24,45,0.0,0,75,0.0,0.75,34,74
Lisa Ellis,15,11,0,115.0,,,1.68,48,2.32,57,4.19,63,50,0.6,0.58,39,64
Germaine de Randamie,10,4,0,135.0,71.0,Orthodox,2.72,46,2.14,65,0.0,0,69,0.4,0.71,38,69
Ashley Yoder,8,8,0,115.0,69.0,Southpaw,3.08,39,3.76,47,1.2,30,69,0.6,0.5,34,67
Justine Kish,7,4,0,125.0,64.0,Orthodox,4.51,48,4.59,57,0.87,33,50,0.1,0.64,34,65
Kailin Curran,4,5,0,115.0,65.0,Orthodox,3.89,43,4.75,53,2.0,57,61,0.6,0.44,31,64
Emily Whitmire,4,5,0,125.0,63.0,Orthodox,2.5,31,2.98,54,1.9,66,70,0.5,0.44,31,65
Ross Pointon,6,17,0,170.0,,Orthodox,2.62,23,2.77,58,1.19,100,0,0.0,0.26,42,68
Din Thomas,26,9,0,155.0,,Orthodox,1.85,37,2.6,59,1.38,52,76,1.2,0.74,45,69
Anthony Johnson,22,6,0,205.0,78.0,Orthodox,3.25,47,1.83,60,2.43,57,77,0.6,0.79,38,74
